CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation,,STATEMENTCoverage,BRANCHCoverage
DeviationRenderer.java,2,362,51,32,6,69,16,26,5,8,4,0.122807018,,,
DialBackground.java,1,28,114,2,8,9,36,5,13,4,9,0.5,,,
DialCap.java,1,59,179,2,12,16,51,8,15,6,10,0.456521739,,,
DialFrame.java,0,,,,,,,,,,,,,,
DialLayer.java,0,,,,,,,,,,,,,,
DialLayerChangeEvent.java,1,3,7,0,0,1,3,1,1,1,1,0,,,
DialLayerChangeListener.java,0,,,,,,,,,,,,,,
DialPlot.java,1,485,377,53,29,125,105,55,27,25,16,0.236686391,,,
DialPointer.java,1,38,47,3,5,14,15,9,5,6,4,0.337078652,,,
DialScale.java,0,,,,,,,,,,,,,,
DialShape.java,1,0,34,0,0,0,4,0,1,0,1,,,,
DialTextAnnotation.java,1,85,234,4,14,23,60,13,16,9,11,0.327868852,,,
DialValueIndicator.java,1,272,425,11,29,72,116,28,32,21,19,0.342342342,,,
DirectionalGradientPaintTransformer.java,5,166,0,20,0,32,0,12,0,2,0,0,,,
DomainInfo.java,0,,,,,,,,,,,,,,
DomainOrder.java,1,0,34,0,0,0,4,0,1,0,1,,,,
Drawable.java,0,,,,,,,,,,,,,,
DrawingSupplier.java,0,,,,,,,,,,,,,,
DynamicDriveToolTipTagFragmentGenerator.java,1,47,0,0,0,11,0,3,0,3,0,0,,,
DynamicTimeSeriesCollection.java,2,899,0,92,0,203,0,89,0,42,0,0,,,
EmptyBlock.java,1,17,28,0,0,5,8,2,3,2,3,0.8,,,
EncoderUtil.java,1,71,0,0,0,21,0,9,0,9,0,0,,,
EntityBlockParams.java,0,,,,,,,,,,,,,,
EntityBlockResult.java,0,,,,,,,,,,,,,,
EntityCollection.java,0,,,,,,,,,,,,,,
ExportUtils.java,4,381,0,8,0,86,0,11,0,7,0,0,,,
ExtendedCategoryAxis.java,1,74,117,14,8,16,34,11,11,3,8,0.451612903,,,
FastScatterPlot.java,1,213,804,37,65,70,218,49,52,20,30,0.270718232,,,
FixedMillisecond.java,1,78,62,11,5,24,20,18,7,10,7,0.259259259,,,
FlowArrangement.java,3,179,368,30,34,38,85,25,21,4,10,0.26744186,,,
FontChooserPanel.java,2,337,0,20,0,71,0,17,0,7,0,0,,,
FontDisplayField.java,1,46,0,2,0,13,0,6,0,5,0,0,,,
Function2D.java,0,,,,,,,,,,,,,,
G2TextMeasurer.java,1,0,25,0,0,0,7,0,2,0,2,0,,,
GanttCategoryDataset.java,0,,,,,,,,,,,,,,
GanttRenderer.java,3,554,337,61,25,100,99,41,18,3,13,0.134615385,,,
GradientBarPainter.java,3,110,595,28,22,33,115,19,15,0,9,0.138297872,,,
GradientPaintTransformType.java,1,0,44,0,0,0,5,0,1,0,1,,,,
GradientPaintTransformer.java,0,,,,,,,,,,,,,,
GradientXYBarPainter.java,3,630,74,41,9,125,23,26,8,5,4,0.106382979,,,
GrayPaintScale.java,1,31,115,3,13,7,31,4,14,1,9,0.689655172,,,
GridArrangement.java,3,63,587,15,59,20,126,15,36,1,13,0.742574257,,,
GroupedStackedBarRenderer.java,4,136,343,39,29,23,91,31,10,0,7,0.119047619,,,
HMSNumberFormat.java,1,9,60,0,0,2,12,2,2,2,2,0.875,,,
HashUtils.java,2,136,185,23,19,33,42,18,17,1,13,0.133333333,,,
HeatMapDataset.java,0,,,,,,,,,,,,,,
HeatMapUtils.java,2,125,0,8,0,26,0,8,0,4,0,0,,,
HexNumberFormat.java,1,68,0,4,0,19,0,9,0,7,0,0,,,
HighLowItemLabelGenerator.java,3,136,83,18,10,31,27,14,7,2,5,0.416666667,,,
HighLowRenderer.java,2,371,128,53,15,82,47,34,17,6,11,0.238636364,,,
HistogramBin.java,1,62,81,10,10,10,20,12,7,2,7,0.424242424,,,
HistogramDataset.java,1,114,396,13,33,26,86,18,27,7,15,0.593406593,,,
HistogramType.java,1,0,34,0,0,0,4,0,1,0,1,,,,
HorizontalAlignment.java,1,0,34,0,0,0,4,0,1,0,1,,,,
Hour.java,1,78,322,14,14,17,80,13,24,2,21,0.633333333,,,
ImageEncoder.java,0,,,,,,,,,,,,,,
ImageEncoderFactory.java,1,93,0,2,0,30,0,9,0,8,0,0,,,
ImageFormat.java,0,,,,,,,,,,,,,,
ImageMapUtils.java,3,55,198,7,27,12,48,10,15,5,3,0.735294118,,,
ImageTitle.java,2,405,0,36,0,84,0,29,0,11,0,0,,,
IntervalBarRenderer.java,3,81,169,15,15,18,46,14,6,0,5,0.1875,,,
IntervalCategoryDataset.java,0,,,,,,,,,,,,,,
IntervalCategoryItemLabelGenerator.java,2,96,15,10,0,19,6,6,3,1,3,0,,,
IntervalCategoryToolTipGenerator.java,2,98,30,11,3,20,11,7,6,1,5,0.384615385,,,
IntervalMarker.java,1,20,116,2,10,5,32,4,13,2,9,0.761904762,,,
IntervalXYDataset.java,0,,,,,,,,,,,,,,
IntervalXYDelegate.java,1,62,293,11,31,14,83,15,28,4,18,0.75,,,
IntervalXYItemLabelGenerator.java,2,258,24,29,3,55,9,22,4,7,3,0.166666667,,,
IntervalXYToolTipGenerator.java,2,282,0,32,0,64,0,26,0,10,0,0,,,
IntervalXYZDataset.java,0,,,,,,,,,,,,,,
ItemHandler.java,1,112,0,8,0,32,0,11,0,7,0,0,,,
ItemKey.java,0,,,,,,,,,,,,,,
